id,filename,label,s02,e0,sigma2,deltar
1,FeS2_feff/feff0001.dat,S.Fe.1,amp,enot,ss,alpha*reff
2,FeS2_feff/feff0002.dat,S.Fe.2,amp,enot,ss1,alpha*reff
3,FeS2_feff/feff0003.dat,S.Fe.3,amp,enot,ss2,alpha*reff
4,FeS2_feff/feff0004.dat,Fe.Fe.4,amp,enot,ss3,alpha*reff
5,FeS2_feff/feff0005.dat,S.S.Fe.5,amp,enot,ss4,alpha*reff
6,FeS2_feff/feff0006.dat,Fe.S.Fe.6,amp,enot,ss5,alpha*reff
7,FeS2_feff/feff0007.dat,S.S.Fe.7,,,,
8,FeS2_feff/feff0008.dat,S.S.S.Fe.8,,,,
9,FeS2_feff/feff0009.dat,S.Fe.9,,,,
10,FeS2_feff/feff0010.dat,S.S.Fe.10,,,,
11,FeS2_feff/feff0011.dat,S.S.Fe.11,,,,
